individual,Taylor_samples_filtered.vcf.gz,corresponding_ID_fullset_pruned_GSword_Zea,fullset_pruned_GSword_Zea.vcf.gz_callset2,species,admixed,sample_rgion,sample_label_CYP337B3_geneTree,Source_lead_author,source_DOI_html,fullset_SNPs_filtered.vcf.gz_callset1,c15_phylo_CYP337B3.vcf
SRR15350541,Y,NA,N,zea_2002,NA,LA_2002,NA,Taylor,https://doi.org/10.1073/pnas.2020853125,Y,N
SRR15350542,Y,NA,N,zea_2002,NA,LA_2002,NA,Taylor,https://doi.org/10.1073/pnas.2020853126,Y,N
SRR15350543,Y,NA,N,zea_2002,NA,LA_2002,NA,Taylor,https://doi.org/10.1073/pnas.2020853127,Y,N
SRR15350545,Y,NA,N,zea_2002,NA,LA_2002,NA,Taylor,https://doi.org/10.1073/pnas.2020853129,Y,N
SRR15350546,Y,NA,N,zea_2002,NA,LA_2002,NA,Taylor,https://doi.org/10.1073/pnas.2020853130,Y,N
Ja_12,N,Ja_12,Y,zea_JA,N,JA_2019,NA,this paper,NA,Y,N
Ja_13,N,Ja_13,Y,zea_JA,N,JA_2019,NA,this paper,NA,Y,N
Ja_14,N,Ja_14,Y,zea_JA,N,JA_2019,NA,this paper,NA,Y,N
Ja_15,N,Ja_15,Y,zea_JA_admixed,Y,JA_admixed_2019,admixed (Jackson CO. TX),this paper,NA,Y,Y
Ja_16,N,Ja_16,Y,zea_JA,N,JA_2019,NA,this paper,NA,Y,N
Ja_17,N,Ja_17,Y,zea_JA,N,JA_2019,NA,this paper,NA,Y,N
Ja_18,N,Ja_18,Y,zea_JA,N,JA_2019,NA,this paper,NA,Y,N
Ja_1,N,Ja_1,Y,zea_JA,N,JA_2019,NA,this paper,NA,Y,N
Ja_23,N,Ja_23,Y,zea_JA_admixed,Y,JA_admixed_2019,admixed (Jackson CO. TX),this paper,NA,Y,Y
Ja_24,N,Ja_24,Y,zea_JA,N,JA_2019,NA,this paper,NA,Y,N
Ja_27,N,Ja_27,Y,zea_JA,N,JA_2019,NA,this paper,NA,Y,N
Ja_36,N,Ja_36,Y,zea_JA,N,JA_2019,H. zea 2019,this paper,NA,Y,Y
Ja_39,N,Ja_39,Y,zea_JA,N,JA_2019,H. zea 2019,this paper,NA,Y,Y
Ja_4,N,Ja_4,Y,zea_JA,N,JA_2019,NA,this paper,NA,Y,N
Ja_5,N,Ja_5,Y,zea_JA,N,JA_2019,NA,this paper,NA,Y,N
Ja_9,N,Ja_9,Y,zea_JA,N,JA_2019,NA,this paper,NA,Y,N
LA_10,N,LA_10,Y,zea_JA,N,JA_2019,NA,this paper,NA,Y,N
LA_11,N,LA_11,Y,zea_LA,N,LA_2019,NA,this paper,NA,Y,N
LA_12,N,LA_12,Y,zea_LA,N,LA_2019,NA,this paper,NA,Y,N
LA_13,N,LA_13,Y,zea_LA,N,LA_2019,NA,this paper,NA,Y,N
LA_14,N,LA_14,Y,zea_LA,N,LA_2019,NA,this paper,NA,Y,N
LA_15,N,LA_15,Y,zea_LA,N,LA_2019,NA,this paper,NA,Y,N
LA_16,N,LA_16,Y,zea_LA,N,LA_2019,NA,this paper,NA,Y,N
LA_17,N,LA_17,Y,zea_LA,N,LA_2019,NA,this paper,NA,Y,N
LA_18,N,LA_18,Y,zea_LA,N,LA_2019,NA,this paper,NA,Y,N
LA_19,N,LA_19,Y,zea_LA,N,LA_2019,NA,this paper,NA,Y,N
LA_1,N,LA_1,Y,zea_LA,N,LA_2019,NA,this paper,NA,Y,N
LA_20,N,LA_20,Y,zea_LA,N,LA_2019,NA,this paper,NA,Y,N
LA_21,N,LA_21,Y,zea_LA,N,LA_2019,NA,this paper,NA,Y,N
LA_22,N,LA_22,Y,zea_LA,N,LA_2019,NA,this paper,NA,Y,N
LA_23,N,LA_23,Y,zea_LA,N,LA_2019,NA,this paper,NA,Y,N
LA_24,N,LA_24,Y,zea_LA,N,LA_2019,NA,this paper,NA,Y,N
LA_26,N,LA_26,Y,zea_LA,N,LA_2019,NA,this paper,NA,Y,N
LA_2,N,LA_2,Y,zea_LA,N,LA_2019,NA,this paper,NA,Y,N
LA_4,N,LA_4,Y,zea_LA,N,LA_2019,NA,this paper,NA,Y,N
LA_5,N,LA_5,Y,zea_LA,N,LA_2019,NA,this paper,NA,Y,N
LA_6,N,LA_6,Y,zea_LA,N,LA_2019,NA,this paper,NA,Y,N
LA_7,N,LA_7,Y,zea_LA,N,LA_2019,NA,this paper,NA,Y,N
