individual,species,admixed,sample_rgion,sample_label_CYP337B3_geneTree,Source_lead_author,source_DOI_html,fullset_SNPs_filtered.vcf.gz
NA_16,zea_NA,N,NA_2019,NA,this paper,NA,Y
NA_18,zea_NA,N,NA_2019,NA,this paper,NA,Y
NA_19,zea_NA,N,NA_2019,NA,this paper,NA,Y
NA_21,zea_NA,N,NA_2019,NA,this paper,NA,Y
NA_22,zea_NA,N,NA_2019,NA,this paper,NA,Y
NA_23,zea_NA,N,NA_2019,NA,this paper,NA,Y
NA_24,zea_NA,N,NA_2019,NA,this paper,NA,Y
NA_25,zea_NA,N,NA_2019,NA,this paper,NA,Y
NA_26,zea_NA,N,NA_2019,NA,this paper,NA,Y
NA_27,zea_NA,N,NA_2019,NA,this paper,NA,Y
NA_28,zea_NA,N,NA_2019,NA,this paper,NA,Y
NA_2,zea_NA,N,NA_2019,NA,this paper,NA,Y
NA_30,zea_NA,N,NA_2019,NA,this paper,NA,Y
NA_32,zea_NA,N,NA_2019,NA,this paper,NA,Y
NA_33,zea_NA,N,NA_2019,NA,this paper,NA,Y
NA_3,zea_NA,N,NA_2019,NA,this paper,NA,Y
NA_4,zea_NA,N,NA_2019,NA,this paper,NA,Y
NA_6,zea_NA,N,NA_2019,NA,this paper,NA,Y
NA_7,zea_NA,N,NA_2019,NA,this paper,NA,Y
NA_9,zea_NA,N,NA_2019,NA,this paper,NA,Y
NC_10,zea_NC,N,NC_2019,NA,this paper,NA,Y
NC_11,zea_NC,N,NC_2019,NA,this paper,NA,Y
NC_12,zea_NC,N,NC_2019,NA,this paper,NA,Y
NC_13,zea_NC,N,NC_2019,NA,this paper,NA,Y
NC_14,zea_NC,N,NC_2019,NA,this paper,NA,Y
NC_15,zea_NC,N,NC_2019,NA,this paper,NA,Y
NC_16,zea_NC,N,NC_2019,NA,this paper,NA,Y
NC_17,zea_NC,N,NC_2019,NA,this paper,NA,Y
NC_18,zea_NC,N,NC_2019,NA,this paper,NA,Y
NC_19,zea_NC,N,NC_2019,NA,this paper,NA,Y
NC_1,zea_NC,N,NC_2019,NA,this paper,NA,Y
NC_20,zea_NC,N,NC_2019,NA,this paper,NA,Y
NC_21,zea_NC,N,NC_2019,NA,this paper,NA,Y
NC_22,zea_NC,N,NC_2019,NA,this paper,NA,Y
NC_23,zea_NC,N,NC_2019,NA,this paper,NA,Y
NC_24,zea_NC,N,NC_2019,NA,this paper,NA,Y
NC_25,zea_NC,N,NC_2019,NA,this paper,NA,Y
NC_26,zea_NC,N,NC_2019,NA,this paper,NA,Y
NC_27,zea_NC,N,NC_2019,NA,this paper,NA,Y
NC_29,zea_NC,N,NC_2019,NA,this paper,NA,Y
NC_2,zea_NC,N,NC_2019,NA,this paper,NA,Y
NC_30,zea_NC,N,NC_2019,NA,this paper,NA,Y
NC_31,zea_NC,N,NC_2019,NA,this paper,NA,Y
NC_32,zea_NC,N,NC_2019,NA,this paper,NA,Y
NC_3,zea_NC,N,NC_2019,NA,this paper,NA,Y
NC_4,zea_NC,N,NC_2019,NA,this paper,NA,Y
NC_5,zea_NC,N,NC_2019,NA,this paper,NA,Y
NC_6,zea_NC,N,NC_2019,NA,this paper,NA,Y
NC_7,zea_NC,N,NC_2019,NA,this paper,NA,Y
NC_8,zea_NC,N,NC_2019,NA,this paper,NA,Y
NC_9,zea_NC,N,NC_2019,NA,this paper,NA,Y
Thrall_10,zea_Thrall,N,Thrall_2019,NA,this paper,NA,Y
Thrall_11,zea_Thrall,N,Thrall_2019,NA,this paper,NA,Y
Thrall_12,zea_Thrall,N,Thrall_2019,NA,this paper,NA,Y
Thrall_13,zea_Thrall,N,Thrall_2019,NA,this paper,NA,Y
Thrall_14,zea_Thrall,N,Thrall_2019,NA,this paper,NA,Y
Thrall_16,zea_Thrall,N,Thrall_2019,NA,this paper,NA,Y
Thrall_17,zea_Thrall,N,Thrall_2019,NA,this paper,NA,Y
Thrall_18,zea_Thrall,N,Thrall_2019,NA,this paper,NA,Y
Thrall_22,zea_Thrall,N,Thrall_2019,NA,this paper,NA,Y
Thrall_25,zea_Thrall,N,Thrall_2019,NA,this paper,NA,Y
Thrall_26,zea_Thrall,N,Thrall_2019,NA,this paper,NA,Y
Thrall_2,zea_Thrall,N,Thrall_2019,NA,this paper,NA,Y
Thrall_30,zea_Thrall,N,Thrall_2019,NA,this paper,NA,Y
Thrall_32,zea_Thrall,N,Thrall_2019,NA,this paper,NA,Y
Thrall_33,zea_Thrall,N,Thrall_2019,NA,this paper,NA,Y
Thrall_36,zea_Thrall,N,Thrall_2019,NA,this paper,NA,Y
Thrall_3,zea_Thrall,N,Thrall_2019,NA,this paper,NA,Y
Thrall_4,zea_Thrall,N,Thrall_2019,NA,this paper,NA,Y
Thrall_5,zea_Thrall,N,Thrall_2019,NA,this paper,NA,Y
Thrall_6,zea_Thrall,N,Thrall_2019,NA,this paper,NA,Y
Thrall_8,zea_Thrall,N,Thrall_2019,NA,this paper,NA,Y
Thrall_9,zea_Thrall,N,Thrall_2019,NA,this paper,NA,Y
Tillard_11,zea_Tillard,N,Tillard_2019,NA,this paper,NA,Y
Tillard_12,zea_Tillard,N,Tillard_2019,NA,this paper,NA,Y
Tillard_14,zea_Tillard,N,Tillard_2019,NA,this paper,NA,Y
Tillard_15,zea_Tillard,N,Tillard_2019,NA,this paper,NA,Y
Tillard_1,zea_Tillard,N,Tillard_2019,NA,this paper,NA,Y
Tillard_20,zea_Tillard,N,Tillard_2019,NA,this paper,NA,Y
Tillard_24,zea_Tillard,N,Tillard_2019,NA,this paper,NA,Y
Tillard_25,zea_Tillard,N,Tillard_2019,NA,this paper,NA,Y
Tillard_26,zea_Tillard,N,Tillard_2019,NA,this paper,NA,Y
Tillard_29,zea_Tillard,N,Tillard_2019,NA,this paper,NA,Y
Tillard_2,zea_Tillard,N,Tillard_2019,NA,this paper,NA,Y
Tillard_31H,zea_Tillard,N,Tillard_2019,NA,this paper,NA,Y
Tillard_32H,zea_Tillard,N,Tillard_2019,NA,this paper,NA,Y
Tillard_33H,zea_Tillard,N,Tillard_2019,NA,this paper,NA,Y
Tillard_34H,zea_Tillard,N,Tillard_2019,NA,this paper,NA,Y
Tillard_3,zea_Tillard,N,Tillard_2019,NA,this paper,NA,Y
Tillard_4,zea_Tillard,N,Tillard_2019,NA,this paper,NA,Y
Tillard_5,zea_Tillard,N,Tillard_2019,NA,this paper,NA,Y
WA_10,zea_WA,N,WA_2019,NA,this paper,NA,Y
WA_11,zea_WA,N,WA_2019,NA,this paper,NA,Y
WA_12,zea_WA,N,WA_2019,NA,this paper,NA,Y
WA_13,zea_WA,N,WA_2019,NA,this paper,NA,Y
WA_15,zea_WA,N,WA_2019,NA,this paper,NA,Y
WA_16,zea_WA,N,WA_2019,NA,this paper,NA,Y
WA_17,zea_WA,N,WA_2019,NA,this paper,NA,Y
WA_18,zea_WA,N,WA_2019,NA,this paper,NA,Y
WA_19,zea_WA,N,WA_2019,NA,this paper,NA,Y
WA_1,zea_WA,N,WA_2019,NA,this paper,NA,Y
WA_20,zea_WA,N,WA_2019,NA,this paper,NA,Y
WA_21,zea_WA,N,WA_2019,NA,this paper,NA,Y
WA_22,zea_WA,N,WA_2019,NA,this paper,NA,Y
WA_2,zea_WA,N,WA_2019,NA,this paper,NA,Y
WA_3,zea_WA,N,WA_2019,NA,this paper,NA,Y
WA_4,zea_WA,N,WA_2019,NA,this paper,NA,Y
WA_5,zea_WA,N,WA_2019,NA,this paper,NA,Y
WA_6,zea_WA,N,WA_2019,NA,this paper,NA,Y
WA_7,zea_WA,N,WA_2019,NA,this paper,NA,Y
WA_8,zea_WA,N,WA_2019,NA,this paper,NA,Y
WA_9,zea_WB,N,WB_2019,NA,this paper,NA,Y
WB_10,zea_WB,N,WB_2019,NA,this paper,NA,Y
WB_11,zea_WB,N,WB_2019,NA,this paper,NA,Y
WB_12,zea_WB,N,WB_2019,NA,this paper,NA,Y
WB_13,zea_WB,N,WB_2019,NA,this paper,NA,Y
WB_14,zea_WB,N,WB_2019,NA,this paper,NA,Y
WB_15,zea_WB,N,WB_2019,NA,this paper,NA,Y
WB_17,zea_WB,N,WB_2019,NA,this paper,NA,Y
WB_19,zea_WB,N,WB_2019,NA,this paper,NA,Y
WB_1,zea_WB,N,WB_2019,NA,this paper,NA,Y
WB_20,zea_WB,N,WB_2019,NA,this paper,NA,Y
WB_22,zea_WB,N,WB_2019,NA,this paper,NA,Y
WB_24,zea_WB,N,WB_2019,NA,this paper,NA,Y
WB_26,zea_WB,N,WB_2019,NA,this paper,NA,Y
WB_3,zea_WB,N,WB_2019,NA,this paper,NA,Y
WB_4,zea_WB,N,WB_2019,NA,this paper,NA,Y
WB_5,zea_WB,N,WB_2019,NA,this paper,NA,Y
WB_6,zea_WB,N,WB_2019,NA,this paper,NA,Y
WB_7,zea_WB,N,WB_2019,NA,this paper,NA,Y
WB_8,zea_WB,N,WB_2019,NA,this paper,NA,Y
WB_9,zea_WB,N,WB_2019,NA,this paper,NA,Y
BW0030,armigera,N,south_asia,H. armigera (South Asia),Jin,https://doi.org/10.1016/j.xinn.2023.100454,N
FR0001,armigera,N,europe,H. armigera (Europe),Jin,https://doi.org/10.1016/j.xinn.2023.100454,N
FR0002,armigera,N,europe,H. armigera (Europe),Jin,https://doi.org/10.1016/j.xinn.2023.100454,N
IC0012,armigera,N,south_asia,H. armigera (South Asia),Jin,https://doi.org/10.1016/j.xinn.2023.100454,N
KEL2,armigera,N,Xinjiang,H. armigera (Xinjiang),Jin,https://doi.org/10.1016/j.xinn.2023.100454,N
KEL41,armigera,N,Xinjiang,H. armigera (Xinjiang),Jin,https://doi.org/10.1016/j.xinn.2023.100454,N
QL1797,armigera,N,oceanea,H. armigera (Oceania),Jin,https://doi.org/10.1016/j.xinn.2023.100454,N
SA0001,armigera,N,africa,H. armigera (Africa),Jin,https://doi.org/10.1016/j.xinn.2023.100454,N
SN0045,armigera,N,africa,H. armigera (Africa),Jin,https://doi.org/10.1016/j.xinn.2023.100454,N
WA0002,armigera,N,oceanea,H. armigera (Oceania),Jin,https://doi.org/10.1016/j.xinn.2023.100454,N
SRR15526515,zea_2017_MD,N,MD_2017,NA,Taylor,https://doi.org/10.1073/pnas.2020853131,N
SRR15526516,zea_2017_MD,N,MD_2017,NA,Taylor,https://doi.org/10.1073/pnas.2020853132,N
SRR15526517,zea_2017_MD,N,MD_2017,NA,Taylor,https://doi.org/10.1073/pnas.2020853133,N
SRR15526518,zea_2017_MD,N,MD_2017,NA,Taylor,https://doi.org/10.1073/pnas.2020853134,N
SRR15526519,zea_2017_MD,N,MD_2017,NA,Taylor,https://doi.org/10.1073/pnas.2020853135,N
